scope,row_index,column,before,after,source
cell,5653,ente,n.d.,,nan_handler:placeholders
cell,5688,ente,ND,,nan_handler:placeholders
cell,5740,ente,-,,nan_handler:placeholders
cell,5779,ente,ND,,nan_handler:placeholders
cell,5798,ente,unknown,,nan_handler:placeholders
cell,5865,ente,n.d.,,nan_handler:placeholders
cell,5874,ente,//,,nan_handler:placeholders
cell,5883,ente,unknown,,nan_handler:placeholders
cell,5895,ente,?,,nan_handler:placeholders
cell,5898,ente,ND,,nan_handler:placeholders
cell,5910,ente,ND,,nan_handler:placeholders
cell,5973,ente,unknown,,nan_handler:placeholders
cell,6026,ente,ND,,nan_handler:placeholders
cell,6084,ente,//,,nan_handler:placeholders
cell,6123,ente, ,,nan_handler:placeholders
cell,6126,ente, ,,nan_handler:placeholders
cell,6180,ente,unknown,,nan_handler:placeholders
cell,6240,ente,//,,nan_handler:placeholders
cell,6245,ente,unknown,,nan_handler:placeholders
cell,6349,ente, ,,nan_handler:placeholders
cell,6354,ente,?,,nan_handler:placeholders
cell,6371,ente,//,,nan_handler:placeholders
cell,6453,ente,?,,nan_handler:placeholders
cell,6476,ente,n.d.,,nan_handler:placeholders
cell,6525,ente,?,,nan_handler:placeholders
cell,6556,ente,unknown,,nan_handler:placeholders
cell,6600,ente,//,,nan_handler:placeholders
cell,6603,ente,-,,nan_handler:placeholders
cell,6651,ente,//,,nan_handler:placeholders
cell,6655,ente, ,,nan_handler:placeholders
cell,6783,ente,?,,nan_handler:placeholders
cell,6799,ente,unknown,,nan_handler:placeholders
cell,6897,ente,//,,nan_handler:placeholders
cell,6916,ente,n.d.,,nan_handler:placeholders
cell,6939,ente,unknown,,nan_handler:placeholders
cell,6945,ente, ,,nan_handler:placeholders
cell,6983,ente,n.d.,,nan_handler:placeholders
cell,7040,ente, ,,nan_handler:placeholders
cell,7102,ente,n.d.,,nan_handler:placeholders
cell,7104,ente,-,,nan_handler:placeholders
cell,7148,ente,?,,nan_handler:placeholders
cell,7179,ente,?,,nan_handler:placeholders
cell,7353,ente,n.d.,,nan_handler:placeholders
cell,7359,ente,unknown,,nan_handler:placeholders
cell,7385,ente,//,,nan_handler:placeholders
cell,7450,ente,//,,nan_handler:placeholders
cell,7452,ente,?,,nan_handler:placeholders
cell,7476,ente,ND,,nan_handler:placeholders
cell,7503,ente,//,,nan_handler:placeholders
cell,7542,ente, ,,nan_handler:placeholders
cell,13,descrizione,n.d.,,nan_handler:placeholders
cell,25,descrizione,?,,nan_handler:placeholders
cell,28,descrizione,//,,nan_handler:placeholders
cell,31,descrizione,n.d.,,nan_handler:placeholders
cell,102,descrizione,?,,nan_handler:placeholders
cell,167,descrizione,?,,nan_handler:placeholders
cell,216,descrizione,ND,,nan_handler:placeholders
cell,225,descrizione,ND,,nan_handler:placeholders
cell,250,descrizione, ,,nan_handler:placeholders
cell,298,descrizione,n.d.,,nan_handler:placeholders
cell,318,descrizione,-,,nan_handler:placeholders
cell,321,descrizione,ND,,nan_handler:placeholders
cell,333,descrizione,-,,nan_handler:placeholders
cell,405,descrizione,//,,nan_handler:placeholders
cell,432,descrizione,?,,nan_handler:placeholders
cell,437,descrizione,-,,nan_handler:placeholders
cell,444,descrizione,//,,nan_handler:placeholders
cell,467,descrizione, ,,nan_handler:placeholders
cell,491,descrizione,//,,nan_handler:placeholders
cell,538,descrizione,//,,nan_handler:placeholders
cell,576,descrizione,unknown,,nan_handler:placeholders
cell,584,descrizione,n.d.,,nan_handler:placeholders
cell,596,descrizione,n.d.,,nan_handler:placeholders
cell,651,descrizione,//,,nan_handler:placeholders
cell,680,descrizione, ,,nan_handler:placeholders
cell,715,descrizione,n.d.,,nan_handler:placeholders
cell,743,descrizione,n.d.,,nan_handler:placeholders
cell,774,descrizione, ,,nan_handler:placeholders
cell,787,descrizione,?,,nan_handler:placeholders
cell,793,descrizione,n.d.,,nan_handler:placeholders
cell,815,descrizione,n.d.,,nan_handler:placeholders
cell,832,descrizione,//,,nan_handler:placeholders
