id,rata,descrizione,cod_tipoimposta,imposta,aggregation_time,area_geografica,tipo_imposta,spesa,cod_imposta,ente
66bf60490377f64b681b510c,202407,MINISTERO DELL'INTERNO,3,Previdenziali a carico del datore di lavoro,2024-08-16 16:11:01.334,,Previdenziali,173370106.64,13,12
6731590c568f146446645cec,202410,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,4,Prestiti,2024-11-11 02:00:28.485,Nord,Varie,1002.17,11,959
6731590c568f146446645d3a,202410,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,4,Altre voci,2024-11-11 02:00:28.485,Isole,Varie,564232.32,12,2
661738e39b1c14196e7da2a1,202403,SCUOLA SUPERIORE DELLA MAGISTRATURA,3,Previdenziali a carico del datore di lavoro,2024-04-11 03:00:48.766,Nord,Previdenziali,3676.04,13,972
671a7805568f1404768e2af4,202409,ISPETTORATO NAZIONALE DEL LAVORO,4,Prestiti,2024-10-24 18:30:35.560,Centro,Varie,209732.87,11,954
66bf60520377f64bd0cd25e4,202407,MINISTERO DELL'INTERNO,2,IRPEF,2024-08-16 16:11:01.334,Isole,Erariali,35751133.59,5,12
6731590c568f146439948f60,202410,ISPETTORATO NAZIONALE DEL LAVORO,2,Addizionali Regionali,2024-11-11 02:00:28.485,Sud,Erariali,278677.62,7,954
659f41739b1c14690c5c4152,202312,COMUNE DI MONTORFANO,4,Riscatti,2024-01-11 02:01:40.336,Centro,Varie,16.85,9,834
671a7806e28f8d6b0a19d162,202409,ENTE PARCO NAZIONALE DELLA MAJELLA,4,Prestiti,2024-10-24 00:00:00.000,,Varie,3218.29,11,938
66bf60520377f64b681b5197,202407,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,3,Previdenziali a carico del lavoratore,2024-08-16 16:11:01.334,Sud,Previdenziali,270989.05,14,966
668f34119b1c1405cffd2dc8,202406,MINISTERO DELLA SALUTE,4,Prestiti,2024-07-11 03:01:16.866,Nord,Varie,98409.57,11,10
671a780d568f1404768e2c3b,202409,REGIONE LAZIO,4,Prestiti,2024-10-24 18:30:35.560,Nord,Varie,220313.56,11,822
66e0ee65f458af54a5dbc849,202408,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,4,Altre voci,2024-09-11 03:01:11.704,Sud,Varie,11190.93,12,966
661738e49b1c14196e7da2d0,202403,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,3,Previdenziali a carico del lavoratore,2024-04-11 03:00:48.766,,Previdenziali,35302.92,14,868
661738e49b1c14196e7da30c,202403,ISPETTORATO NAZIONALE DEL LAVORO,2,Addizionali Regionali,2024-04-11 03:00:48.766,Isole,Erariali,,7,954
6667a4c1262bc331bdcd0c3c,202405,MINISTERO DELL'ISTRUZIONE E DEL MERITO,4,Riscatti,2024-06-11 03:01:23.745,,Varie,9418108.5,9,4
661738e59b1c1417e85d36c9,202403,CONSORZIO PARCO GEOMIN. STORICO E AMBIENTALE DELLA SARDEGNA,2,Addizionali Regionali,2024-04-11 03:00:48.766,Centro,Erariali,231.52,7,968
65c81f2bf458af1d35de6281,202401,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,4,Ritenute Sindacali,2024-02-11 02:01:21.381,Isole,Varie,23447.56,10,13
6667a4b7262bc331bdcd0b77,202405,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,2,IRPEF,2024-06-11 03:01:23.745,Centro,Erariali,22697.14,5,976
6731590c568f146439948fe1,202410,COMUNE DI VASIA,2,Addizionali Comunali,2024-11-11 02:00:28.485,Centro,Erariali,59.76,8,973
65c81f2b3f62191d044e2b08,202401,AZIENDA SANITARIA LOCALE VITERBO,3,Previdenziali a carico del datore di lavoro,2024-02-11 02:01:21.381,,Previdenziali,2807884.25,13,929
659f41739b1c14690c5c4142,202312,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,2,IRAP,2024-01-11 02:01:40.336,Isole,Erariali,3674647.62,6,13
661738e49b1c14196e7da354,202403,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,3,Previdenziali a carico del lavoratore,2024-04-11 03:00:48.766,Isole,Previdenziali,849277.5,14,13
668f34110377f62206882c5f,202406,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO CENTRALE,3,Previdenziali a carico del lavoratore,2024-07-11 00:00:00.000,Isole,Previdenziali,11201.26,14,958
65ee5ac7eb0f334c5c3675b3,202402,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,4,Prestiti,2024-03-11 02:01:04.421,,Varie,4617.68,11,23
668f34080377f62206882bfb,202406,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,4,Ritenute Sindacali,2024-07-11 03:01:16.866,,Varie,631.24,10,963
65ee5ac6f458af56cdec17f2,202402,ORDINE DEI MEDICI CHIRURGHI E DEGLI ODONTOIATRI DELLA PROVINCIA DI LATINA,2,IRAP,2024-03-11 00:00:00.000,Centro,Erariali,2549.26,6,912
66bf60530377f64b681b51b2,202407,COMUNE DI CAROSINO,2,Addizionali Comunali,2024-08-16 16:11:01.334,Centro,Erariali,456.14,8,816
